test2_z.date,xYield_FEDMINFRMWG,xYield_GDPPOT,xYield_GS30,xYield_NYXRSA,xYield_CPIHOSNS,xYield_MSPUS,xYield_UEMPMEAN,xYield_CASTHPI,xYield_FDHBFIN,xYield_POP,xYield_USSTHPI,xYield_POPTHM,xYield_WTB3MS,xYield_CSCICP03USM665S,xYield_DGS3MO,xYield_USSLIND,xYield_DTB3,xYield_MICH,xYield_UMCSENT,xYield_BOXRSA,xYield_TB3MS,xYield_AAA10Y,xYield_DGS30,xYield_RU2000PR,xYield_PCDG,xYield_TOTALSL,xYield_MSPNHSUS,xYield_CPALTT01USQ657N,xYield_MVLOAS,xYield_REALLN,xYield_ASPUS,xYield_GS3M,xYield_FEDMINNFRWG,xYield_DRCLACBS,xYield_SDXRSA,xYield_PCEDG,yFYield_CSUSHPINSA,Q1,Q2,Q3,Q4,BL_yFYield_CSUSHPINSA
2004-06-30,0.0,0.0066008994632236195,-0.00994035785288272,0.03444108761329301,0.010695187165775444,0.023037141513869264,0.005025125628140836,0.06117647058823539,0.038922155688622784,0.002141093257266302,0.02684563758389258,0.0021831595588512887,0.16427554484722373,-0.0039525691699605625,0.173931669701189,0.0629677071394863,0.17770985700251063,0.19780219780219777,-0.04795918367346941,0.02779493514515141,0.1745391076688121,-0.07515657620041749,-0.009539147670961312,-0.016597510373444035,0.001879699248120259,0.01096282173498575,0.017224048849225015,0.5855576475800199,0.010526315789473717,0.05498891352549884,0.009128946367439994,0.17924731182795695,0.0,-0.009584664536741117,0.08992248062015507,0.001879699248120259,0.03708698583951442,0,1,0,0,1
2004-09-30,0.0,0.006557613316999333,-0.010040160642570406,0.03621495327102808,0.010582010582010692,-0.018841911764705843,-0.050000000000000044,0.1019955654101996,0.03400576368876074,0.002450511945392586,0.03594771241830075,0.0024857020913358063,0.3813375975919482,0.001984126984126977,0.38116960131374866,-0.11206951227246786,0.37946056168319586,-0.1223241590214067,0.024651661307609762,0.016826923076922906,0.3807931642983189,0.009781790820165392,-0.009631019387116857,-0.03234880450070321,0.017823639774859235,0.012258368694012312,-0.011700766968190002,-0.7534925956971221,0.02864583333333326,0.02522068095838592,0.03279306445533359,0.3798668733473147,0.0,-0.016129032258064613,0.06685633001422464,0.017823639774859235,0.024057217165149414,0,0,1,0,1
2004-12-31,0.0,0.00651489117983961,-0.010141987829614618,0.0310033821871476,0.0,0.07166276346604206,0.026315789473684292,0.03822937625754519,0.030657748049052413,0.00253644652353624,0.02208201892744488,0.0024897565760568785,0.35757575757575766,-0.00099009900990088,0.35240108329480146,-0.023785714285714188,0.3516092185715247,0.03484320557491283,-0.0177824267782426,0.02304964539007104,0.3497679424228157,-0.025335320417287477,-0.009724677948977134,0.1053779069767442,0.02027649769585249,0.017233348858872954,0.06416767507814214,0.6936809294417683,0.010126582278481067,0.035260352603526,0.04489051094890506,0.3480473138174849,0.0,-0.006557377049180357,0.03155555555555556,0.02027649769585249,0.02984126984126978,0,0,0,1,1
2005-03-31,0.0,0.006401593285439988,-0.010245901639344246,0.03936577364680138,0.010471204188481575,0.016171328671328755,-0.005128205128205221,0.04263565891472876,0.055705786911844246,0.0021700519250296146,0.024691358024691468,0.0021166429974111,0.2699137239165328,-0.0009910802775026095,0.2646283090749242,-0.04148679300504865,0.26446609663949094,0.010101010101009944,0.0021299254526090383,0.026574234546504982,0.26411521403298965,-0.21941896024464846,-0.009820175997959368,0.02103879026955946,0.0027100271002709064,0.011904761904761862,0.00936483336040772,0.05270202442697003,0.007518796992481258,0.03405940594059409,0.007684247293049173,0.26632352941176474,0.0,-0.03960396039603953,0.02800517018526505,0.0027100271002709064,0.045006165228113515,1,0,0,0,1
2005-06-30,0.0,0.006148844441303369,-0.010351966873705987,0.03471856917411875,0.010362694300518172,0.005161290322580614,-0.03608247422680411,0.059479553903345694,-0.03790983606557374,0.0020603045726561575,0.030120481927710774,0.002139294880270759,0.12540980368922083,-0.0029761904761904656,0.13034914259230646,0.14251908396946544,0.12702468941657474,0.07666666666666666,-0.04144527098831019,0.01519414743950498,0.1287499507233807,-0.03525954946131238,-0.00991756826378154,-0.022537025112685072,0.02522522522522519,0.012669683257918507,0.0014484558503697897,1.1253973299427846,0.00746268656716409,0.03523554193795486,-0.002426343154246058,0.13293074749351597,0.0,-0.020618556701030966,0.0159262363788768,0.02522522522522519,0.03775811209439528,0,1,0,0,1
2005-09-30,0.0,0.005970778308513669,-0.010460251046025104,0.025927808845958467,0.01025641025641022,0.011553273427471034,-0.03743315508021383,0.04912280701754379,0.027689030883919052,0.0024821615772210315,0.032163742690058506,0.002544081627129602,0.1740137582479293,-0.00497512437810943,0.17480438719376767,0.022248947684906817,0.17326542714619597,0.07430340557275539,-0.029933481152993324,-0.0022172949002217113,0.17347116962944842,-0.1086294416243655,-0.010016911669051831,0.08827404479578393,0.012302284710017597,0.012064343163538771,0.027511260331924525,-0.09010693187766383,0.0185185185185186,0.04217536071032191,0.023627519110493322,0.1730959784057129,0.0,-0.01754385964912286,0.011963696369637011,0.012302284710017597,0.02046617396247874,0,0,1,0,1
2005-12-31,0.0,0.005725857132881762,-0.010570824524313016,0.037661050545094055,0.0050761421319796,0.030456852791878264,-0.022222222222222143,0.045150501672240884,0.05388601036269436,0.0025603486661898156,0.022662889518413554,0.002517378686643701,0.1440657698056802,-0.0050000000000000044,0.138236919407847,-0.054444444444444406,0.13759885829815066,0.057636887608069065,-0.058285714285714274,0.0022222222222223476,0.13889880952380973,0.011389521640091216,-0.010118265440210217,-0.003026634382566562,-0.03211805555555558,0.008388520971302382,0.015073953679084484,-0.5825115055884287,-0.00242424242424244,0.028399006034788732,-0.0013577732518669228,0.138846008213672,0.0,-0.03928571428571426,0.015083571137382679,-0.03211805555555558,0.012256267409470611,0,0,0,1,1
2006-03-31,0.0,0.005415538429493827,-0.010683760683760646,0.025787965616045794,0.015151515151515138,0.016830870279146204,-0.017045454545454586,0.02079999999999993,0.02359882005899716,0.0021904220347708225,0.013850415512465464,0.0021912846785105966,0.14813556664663285,0.007035175879396949,0.151522894521668,0.11750881316098694,0.14967853222518435,-0.1825613079019074,0.07888349514563098,-0.001662971175166339,0.14806491232654762,-0.07770270270270263,-0.010221691225275387,0.09714632665452339,0.034977578475336335,0.04028021015761829,0.019572486913502107,0.06122047244094486,-0.049817739975698716,0.025888850535036312,0.03772943575798782,0.1517391304347826,0.0,0.03345724907063197,0.008835341365461824,0.034977578475336335,0.013758943313153527,1,0,0,0,1
2006-06-30,0.0,0.005110144327049149,0.11015118790496747,0.007448789571694592,0.00995024875621886,-0.0056519983851432976,-0.028901734104046284,0.00783699059561127,-0.049951969260326634,0.0021856345726429804,0.010928961748633892,0.002253666826763201,0.07110018662661033,-0.004990019960079861,0.07180579594372705,-0.30308653429826193,0.07033576575962175,0.17666666666666653,-0.057367829021372385,-0.01110494169905607,0.0705619921243712,0.0073260073260073,0.10300429184549342,0.008854454897620379,-0.004332755632582286,0.010101010101010166,0.005309741742330454,2.1393062511593395,-0.010230179028132946,0.02960969044414541,-0.008843760235833553,0.07181400306441921,0.0,0.05035971223021596,-0.006369426751592355,-0.004332755632582286,0.0010857763300760048,0,1,0,0,1
2006-09-30,0.0,0.004878048780487809,-0.029182879377431803,-0.01247689463955648,0.009852216748768461,-0.043442955745026435,0.017857142857142794,0.0031104199066873672,0.023761375126390316,0.0025661211704997022,0.008108108108108025,0.002587062009061336,0.042497131443627545,0.0010030090270811698,0.04242060370171008,-0.2604064968492056,0.0421595905103751,-0.04532577903682711,0.0023866348448686736,-0.018528916339135226,0.04324623136946415,-0.046060606060606024,-0.029182879377431803,-0.03620405924300607,0.010443864229765065,0.006250000000000089,-0.040222156313862834,-0.6689907823209642,0.023255813953488413,0.024836601307189454,0.018175809649702668,0.04280357179853733,0.0,0.013698630136986356,-0.02043269230769229,0.010443864229765065,-0.004338394793926281,0,0,1,0,0
